Province_Name;Kabupaten_Name;Kecamatan_Name;nama_deskel;Tipe;Tipologi;jumlah_prasejahtera;jumlah_sejahtera1;jumlah_sejahtera2;jumlah_sejahtera3;jumlah_sejahtera3plus
JAWA BARAT;KABUPATEN BANDUNG;ARJASARI;ANCOLMEKAR;DESA;Persawahan;535;754;52;15;0
JAWA BARAT;KABUPATEN BANDUNG;ARJASARI;ARJASARI;DESA;Persawahan;665;1260;930;400;63
JAWA BARAT;KABUPATEN BANDUNG;ARJASARI;BAROS;DESA;Persawahan;1035;2740;2697;1762;1661
JAWA BARAT;KABUPATEN BANDUNG;ARJASARI;BATUKARUT;DESA;Perindustrian/Jasa;0;961;2145;325;346
JAWA BARAT;KABUPATEN BANDUNG;ARJASARI;LEBAKWANGI;DESA;Persawahan;63;1435;2292;151;87
JAWA BARAT;KABUPATEN BANDUNG;ARJASARI;MANGUNJAYA;DESA;Persawahan;2284;420;1489;2425;0
JAWA BARAT;KABUPATEN BANDUNG;ARJASARI;MEKARJAYA;DESA;Persawahan;21;110;322;415;498
JAWA BARAT;KABUPATEN BANDUNG;ARJASARI;PATROLSARI;DESA;Persawahan;0;1400;0;0;0
JAWA BARAT;KABUPATEN BANDUNG;ARJASARI;PINGGIRSARI;DESA;Perladangan;2056;139;67;0;0
JAWA BARAT;KABUPATEN BANDUNG;ARJASARI;RANCAKOLE;DESA;Persawahan;0;987;2489;325;45
JAWA BARAT;KABUPATEN BANDUNG;ARJASARI;WARGALUYU;DESA;Persawahan;1290;829;20;10;4
JAWA BARAT;KABUPATEN BANDUNG;BALEENDAH;BOJONGMALAKA;DESA;Perindustrian/Jasa;2470;797;1914;1131;13
JAWA BARAT;KABUPATEN BANDUNG;BALEENDAH;JELEKONG;KELURAHAN;Perindustrian/Jasa;1072;2484;2454;439;28
JAWA BARAT;KABUPATEN BANDUNG;BALEENDAH;MALAKASARI;DESA;Perindustrian/Jasa;606;863;723;523;100
JAWA BARAT;KABUPATEN BANDUNG;BALEENDAH;MANGGAHANG;KELURAHAN;Persawahan;506;3321;2866;455;3414
JAWA BARAT;KABUPATEN BANDUNG;BALEENDAH;RANCAMANYAR;DESA;Perindustrian/Jasa;912;2820;10970;0;0
JAWA BARAT;KABUPATEN BANDUNG;BALEENDAH;WARGAMEKAR;KELURAHAN;Persawahan;522;2226;2192;518;1
JAWA BARAT;KABUPATEN BANDUNG;BANJARAN;BANJARAN KULON;DESA;Perindustrian/Jasa;166;1007;1989;404;320
JAWA BARAT;KABUPATEN BANDUNG;BANJARAN;BANJARAN WETAN;DESA;Perindustrian/Jasa;459;1223;1529;1376;510
JAWA BARAT;KABUPATEN BANDUNG;BANJARAN;CIAPUS;DESA;Persawahan;568;1769;1718;214;0
JAWA BARAT;KABUPATEN BANDUNG;BANJARAN;KAMASAN;DESA;Perindustrian/Jasa;158;615;574;105;49
JAWA BARAT;KABUPATEN BANDUNG;BANJARAN;KIANGROKE;DESA;Persawahan;255;457;1359;673;384
JAWA BARAT;KABUPATEN BANDUNG;BANJARAN;MARGAHURIP;DESA;Persawahan;394;1626;1410;0;0
JAWA BARAT;KABUPATEN BANDUNG;BANJARAN;MEKARJAYA;DESA;Persawahan;507;1133;828;200;17
JAWA BARAT;KABUPATEN BANDUNG;BANJARAN;NEGLASARI;DESA;Persawahan;347;1455;1036;231;2
JAWA BARAT;KABUPATEN BANDUNG;BANJARAN;PASIRMULYA;DESA;Persawahan;980;427;349;105;40
